Sample,Group,Date,Day,Fungi_Est,Acet_Est,Azoxystrobin,Propiconazole,Pyraclostrobin,NO3.NO2,SiO2,SRP,Total.N,Total.P,N/P,Chlorophyll.a,Phaophytin.a,C/P ratio,afdm,AI,green (µg/cm²),diatom (µg/cm²),cyano (µg/cm²),P/D,Sum BT
a1,1,7/20/2024,3,0,0,,,,7.2,7,0.9,288,10.4,27.69230769,1.5,0.2,0.133333333,0.3177,211.8,0,0.63,0.36,1.75,2.74
a2,1,7/20/2024,3,0,0,,,,11.3,9.33,,356,,,1,0.2,0.2,0.3419,341.9,0,0.46,0.31,1.483870968,2.253870968
a3,1,7/20/2024,3,0,0,,,,1.9,8.63,,278,11.7,23.76068376,1.6,0.3,0.1875,0.4856,303.5,0,2.27,0.91,2.494505495,5.674505495
b1,2,7/20/2024,3,0,100,,,,,7.51,0.8,230,7.4,31.08108108,1.9,0.3,0.157894737,0.646,340,0,1.23,0.55,2.236363636,4.016363636
b7,2,7/20/2024,3,0,100,,,,,9.03,0.8,219,8.6,25.46511628,2.1,0.4,0.19047619,0.8185,389.7619048,0,1.28,0.56,2.285714286,4.125714286
c4,2,7/20/2024,3,0,100,,,,,8.59,,217,8.2,26.46341463,1.8,0.3,0.166666667,0.649,360.5555556,0,1.53,0.63,2.428571429,4.588571429
b2,3,7/20/2024,3,0.01,0.01,,,,1.9,9.1,,212,6.6,32.12121212,1.8,0.3,0.166666667,0.7035,390.8333333,0,1.6,0.63,2.53968254,4.76968254
b8,3,7/20/2024,3,0.01,0.01,,,,,8.98,1.1,213,6.3,33.80952381,2.3,0.5,0.217391304,1.0726,466.3478261,0,1.32,0.54,2.444444444,4.304444444
c5,3,7/20/2024,3,0.01,0.01,,,,,8.77,1.1,241,8.9,27.07865169,1.3,0.2,0.153846154,0.4478,344.4615385,0,1.22,0.56,2.178571429,3.958571429
b3,4,7/20/2024,3,0.1,0.1,,,,8.2,8.14,1.4,230,6.7,34.32835821,2,0.3,0.15,0.9425,471.25,0,2.01,0.75,2.68,5.44
b9,4,7/20/2024,3,0.1,0.1,,,,,9.55,0.9,220,9.1,24.17582418,2.1,0.4,0.19047619,0.8003,381.0952381,0,1.79,0.63,2.841269841,5.261269841
c6,4,7/20/2024,3,0.1,0.1,,,,21.2,8.49,1,208,7.1,29.29577465,1.7,0.3,0.176470588,0.8336,490.3529412,0,1.6,0.72,2.222222222,4.542222222
b4,5,7/20/2024,3,1,1,,,,,8.17,0.9,211,7.5,28.13333333,1.8,0.3,0.166666667,0.9607,533.7222222,0,0.58,,,
c1,5,7/20/2024,3,1,1,,,,3.3,7.92,,214,6.8,31.47058824,1.9,0.3,0.157894737,1.0045,528.6842105,0,1.33,0.6,2.216666667,4.146666667
c7,5,7/20/2024,3,1,1,,,,,9.27,0.8,218,9.6,22.70833333,1.5,0.3,0.2,0.6914,460.9333333,0,1.41,0.79,1.784810127,3.984810127
b5,6,7/20/2024,3,10,10,,,,1.9,9.08,1,214,6.8,31.47058824,1.4,0.2,0.142857143,0.7186,513.2857143,0,1.2,0.57,2.105263158,3.875263158
c2,6,7/20/2024,3,10,10,,,,2.2,8.22,,210,7.1,29.57746479,1.6,0.4,0.25,0.8865,554.0625,0,1.4,0.51,2.745098039,4.655098039
c8,6,7/20/2024,3,10,10,,,,,8.12,1.1,214,9.8,21.83673469,1.9,0.3,0.157894737,1.059,557.3684211,0,1.88,0.66,2.848484848,5.388484848
b6,7,7/20/2024,3,100,100,,,,,8.82,0.8,206,6.8,30.29411765,2.2,0.3,0.136363636,0.9259,420.8636364,0,1.6,0.63,2.53968254,4.76968254
c3,7,7/20/2024,3,100,100,,,,,8.98,,208,7.4,28.10810811,1.8,0.3,0.166666667,0.8018,445.4444444,0,1.87,0.73,2.561643836,5.161643836
c9,7,7/20/2024,3,100,100,,,,,9.17,,218,7.7,28.31168831,1.7,0.3,0.176470588,0.7867,462.7647059,0.04,1.63,0.64,2.546875,4.856875
a1,1,7/22/2024,5,0,0,,,,,,,,,,2,0.3,0.15,0.4962,248.1,0.145,0.66,0.36,1.75,2.915
a2,1,7/22/2024,5,0,0,,,,,,,,,,2.2,0.4,0.181818182,0.6611,300.5,0,0.6,0.285,2.165012407,3.050012407
a3,1,7/22/2024,5,0,0,,,,,,,,,,0.9,0.1,0.111111111,0.2496,277.3333333,0,1.51,0.565,2.951798202,5.026798202
b1,2,7/22/2024,5,0,100,,,,,,,,,,2.5,0.5,0.2,0.9667,386.68,0,1.55,0.51,3.10754352,5.16754352
b7,2,7/22/2024,5,0,100,,,,,,,,,,1.7,0.4,0.235294118,0.7625,448.5294118,0,1.185,0.525,2.255102041,3.965102041
c4,2,7/22/2024,5,0,100,,,,,,,,,,1.9,0.5,0.263157895,0.9138,480.9473684,0,2.155,0.63,3.420634921,6.205634921
b2,3,7/22/2024,5,0.01,0.01,,,,,,,,,,2.2,0.5,0.227272727,1.0772,489.6363636,0,1.285,0.57,2.220821662,4.075821662
b8,3,7/22/2024,5,0.01,0.01,,,,,,,,,,2.1,0.4,0.19047619,0.8321,396.2380952,0,1.13,0.505,2.222222222,3.857222222
c5,3,7/22/2024,5,0.01,0.01,,,,,,,,,,1.8,0.4,0.222222222,1.0348,574.8888889,0,1.25,0.53,2.369285714,4.149285714
b3,4,7/22/2024,5,0.1,0.1,,,,,,,,,,1.7,0.3,0.176470588,0.77,452.9411765,0,1.62,0.615,2.62125,4.85625
b9,4,7/22/2024,5,0.1,0.1,,,,,,,,,,2.4,0.5,0.208333333,0.9017,375.7083333,0,1.475,0.565,2.580634921,4.620634921
c6,4,7/22/2024,5,0.1,0.1,,,,,,,,,,2.7,0.5,0.185185185,1.1861,439.2962963,0,1.065,0.505,2.024904215,3.594904215
b4,5,7/22/2024,5,1,1,,,,,,,,,,1.7,0.3,0.176470588,0.7201,423.5882353,0,1.23,0.44,4.272727273,5.942727273
c1,5,7/22/2024,5,1,1,,,,,,,,,,2.5,0.5,0.2,1.1316,452.64,0,1.44,0.56,2.598717949,4.598717949
c7,5,7/22/2024,5,1,1,,,,,,,,,,2.2,0.4,0.181818182,0.9939,451.7727273,0,1.68,0.615,3.108314154,5.403314154
b5,6,7/22/2024,5,10,10,,,,,,,,,,1.9,0.3,0.157894737,0.9032,475.3684211,0,1.235,0.545,2.273785425,4.053785425
c2,6,7/22/2024,5,10,10,,,,,,,,,,2.5,0.4,0.16,1.3464,538.56,0,1.345,0.525,2.566993464,4.436993464
c8,6,7/22/2024,5,10,10,,,,,,,,,,1.7,0.3,0.176470588,0.8366,492.1176471,0,1.4,0.6,2.276094276,
b6,7,7/22/2024,5,100,100,,,,,,,,,,1.5,0.2,0.133333333,1.0726,715.0666667,0,1.535,,,
c3,7,7/22/2024,5,100,100,,,,,,,,,,1.6,0.2,0.125,0.7791,486.9375,0,1.945,0.65,3.052751742,5.647751742
c9,7,7/22/2024,5,100,100,,,,,,,,,,1.9,0.4,0.210526316,0.826,434.7368421,0.02,1.63,0.63,2.587953629,4.867953629
a1,1,7/24/2024,7,0,0,,,,1.7,9.12,1.3,310,8.5,36.47058824,0.8,0.2,0.25,0.239,298.75,0.29,0.69,,,
a2,1,7/24/2024,7,0,0,,,,2.5,10.36,2.6,244,7.9,30.88607595,1.2,0.3,0.25,0.3843,320.25,0,0.74,0.26,2.846153846,3.846153846
a3,1,7/24/2024,7,0,0,,,,,9.54,,222,7.3,30.4109589,2.1,0.5,0.238095238,0.9032,430.0952381,0,0.75,0.22,3.409090909,4.379090909
b1,2,7/24/2024,7,0,100,,,,1.6,10.08,1,417,9.3,44.83870968,1.5,0.4,0.266666667,0.7489,499.2666667,0,1.87,0.47,3.978723404,6.318723404
b7,2,7/24/2024,7,0,100,,,,,10.09,0.9,217,7.2,30.13888889,0.9,0.5,0.3,1.3616,,0,1.09,0.49,2.224489796,3.804489796
c4,2,7/24/2024,7,0,100,,,,,10.19,0.8,265,6.1,43.44262295,1.5,0.5,0.333333333,0.8487,565.8,0,2.78,0.63,4.412698413,7.822698413
b2,3,7/24/2024,7,0.01,0.01,,,,,9.77,,286,6.7,42.68656716,2.2,0.6,0.272727273,1.1725,532.9545455,0,0.97,0.51,1.901960784,3.381960784
b8,3,7/24/2024,7,0.01,0.01,,,,,10.09,,230,7.1,32.3943662,2,0.5,0.25,0.9092,454.6,0,0.94,0.47,2,3.41
c5,3,7/24/2024,7,0.01,0.01,,,,,9.7,0.8,231,7.8,29.61538462,1.7,0.5,0.294117647,1.2648,744,0,1.28,0.5,2.56,4.34
b3,4,7/24/2024,7,0.1,0.1,,,,,9.47,1.2,244,6.6,36.96969697,1.8,0.3,0.166666667,0.8154,453,0,1.23,0.48,2.5625,4.2725
b9,4,7/24/2024,7,0.1,0.1,,,,,10.6,0.9,206,6.3,32.6984127,1.6,0.3,0.1875,0.6127,382.9375,0,1.16,0.5,2.32,3.98
c6,4,7/24/2024,7,0.1,0.1,,,,2.5,9.46,3.2,188,5.9,31.86440678,2,0.4,0.2,0.8487,424.35,0,0.53,0.29,1.827586207,2.647586207
b4,5,7/24/2024,7,1,1,,,,,9.38,0.9,223,8.3,26.86746988,1.5,0.3,0.2,0.6641,442.7333333,0,1.88,0.44,4.272727273,6.592727273
c1,5,7/24/2024,7,1,1,,,,,9.38,0.8,223,7.7,28.96103896,1.9,0.3,0.157894737,0.8896,468.2105263,0,1.55,0.52,2.980769231,5.050769231
c7,5,7/24/2024,7,1,1,,,,,9.8,2.3,210,8.2,25.6097561,1.8,0.3,0.166666667,0.77,427.7777778,0,1.95,0.44,4.431818182,6.821818182
b5,6,7/24/2024,7,10,10,,,,2.3,10.05,1.1,589,9.2,64.02173913,1.8,0.3,0.166666667,0.8366,464.7777778,0,1.27,0.52,2.442307692,4.232307692
c2,6,7/24/2024,7,10,10,,,,2.4,9.41,2.6,381,6.1,62.45901639,2.3,0.4,0.173913043,1.0499,456.4782609,0,1.29,0.54,2.388888889,4.218888889
c8,6,7/24/2024,7,10,10,,,,6.2,9.69,0.8,239,6.8,35.14705882,1.8,0.3,0.166666667,0.7595,421.9444444,0,0.92,0.54,1.703703704,3.163703704
b6,7,7/24/2024,7,100,100,,,,2,9.69,1.2,234,7.4,31.62162162,1.5,0.2,0.133333333,0.6657,443.8,0,1.47,0.6,2.45,4.52
c3,7,7/24/2024,7,100,100,,,,2.4,9.7,1.9,209,5.8,36.03448276,1.9,0.3,0.157894737,0.879,462.6315789,0,2.02,0.57,3.543859649,6.133859649
c9,7,7/24/2024,7,100,100,,,,6.7,10.25,2.7,285,14.1,20.21276596,1.1,0.2,0.181818182,0.764,694.5454545,0,1.63,0.62,2.629032258,4.879032258
a1,1,7/27/2024,10,0,0,0.0097,,,2.1,8.96,1.3,432,10.7,40.37383178,1,0.3,0.3,0.4266,426.6,0,0.69,0.27,2.555555556,3.515555556
a2,1,7/27/2024,10,0,0,,,,,9.78,0.8,296,6.7,44.17910448,1.5,0.5,0.333333333,0.5764,384.2666667,0,0.94,0.33,2.848484848,4.118484848
a3,1,7/27/2024,10,0,0,,,,4.5,9.08,3.1,228,6.7,34.02985075,0.7,0.2,0.285714286,0.3162,451.7142857,0,0.75,0.23,3.260869565,4.240869565
b1,2,7/27/2024,10,0,100,0.01,,,3.7,10.84,4.7,250,5.9,42.37288136,1.3,0.5,0.384615385,1.6233,1248.692308,0,0.59,0.19,3.105263158,3.885263158
b7,2,7/27/2024,10,0,100,,,,1.9,10.47,1,224,5.6,40,1.5,0.5,0.333333333,1.348,898.6666667,0,0.92,0.41,2.243902439,3.573902439
c4,2,7/27/2024,10,0,100,,,,,10.92,0.9,267,7,38.14285714,1.4,0.5,0.357142857,1.059,756.4285714,0,0.77,0.44,1.75,2.96
b2,3,7/27/2024,10,0.01,0.01,0.026,,,2.2,10.64,1.5,278,5.6,49.64285714,1.4,0.4,0.285714286,1.1831,845.0714286,0,1.29,0.54,2.388888889,4.218888889
b8,3,7/27/2024,10,0.01,0.01,0.087,,,,10.63,1.2,312,6.5,48,1.4,0.4,0.285714286,0.6762,483,0,1.06,0.48,2.208333333,3.748333333
c5,3,7/27/2024,10,0.01,0.01,,,,,8.88,0.9,275,7.8,35.25641026,1.3,0.4,0.307692308,1.0303,792.5384615,0,0.79,0.43,1.837209302,3.057209302
b3,4,7/27/2024,10,0.1,0.1,0.14,,,2.9,10.4,5.2,304,6.4,47.5,1.4,0.4,0.285714286,1.0408,743.4285714,0,0.97,0.49,1.979591837,3.439591837
b9,4,7/27/2024,10,0.1,0.1,0.26,,,,11.07,0.8,238,7.5,31.73333333,2.1,0.6,0.285714286,1.0666,507.9047619,0,1.2,0.47,2.553191489,4.223191489
c6,4,7/27/2024,10,0.1,0.1,,,,2.1,10.08,3.7,216,6,36,1.8,0.5,0.277777778,1.3343,741.2777778,0,1.01,0.42,2.404761905,3.834761905
b4,5,7/27/2024,10,1,1,1,,0.0048,2.2,10.25,1.9,304,6.7,45.37313433,2.2,0.8,0.363636364,1.8638,847.1818182,0,1.34,0.51,2.62745098,4.47745098
c1,5,7/27/2024,10,1,1,,,,,10.16,2.9,219,4.8,45.625,1.6,0.4,0.25,0.8699,543.6875,0,1.19,0.5,2.38,4.07
c7,5,7/27/2024,10,1,1,1.4,0.011,0.018,2.2,10.16,3.8,328,9.4,34.89361702,1.1,0.2,0.181818182,0.4902,445.6363636,0,1.32,0.59,2.237288136,4.147288136
b5,6,7/27/2024,10,10,10,140,0.61,0.43,3.2,10.32,5.5,314,6.9,45.50724638,1.3,0.4,0.307692308,1.1331,871.6153846,0,0.97,0.53,1.830188679,3.330188679
c2,6,7/27/2024,10,10,10,,,,,9.86,0.8,232,6.1,38.03278689,1.1,0.2,0.181818182,1.0938,994.3636364,,,,,
c8,6,7/27/2024,10,10,10,16,0.085,0.13,,10.05,1.2,222,5.8,38.27586207,1.9,0.5,0.263157895,1.3207,695.1052632,0,1.11,0.6,1.85,3.56
b6,7,7/27/2024,10,100,100,14,0.077,0.085,,10.17,1.4,280,7.6,36.84210526,1.3,0.5,0.384615385,1.5023,1155.615385,0,1.62,0.42,3.857142857,5.897142857
c3,7,7/27/2024,10,100,100,0.69,0.011,0.032,1.6,9.84,3.6,202,5.9,34.23728814,1.1,0.3,0.272727273,1.5703,1427.545455,0,1.95,0.43,4.534883721,6.914883721
c9,7,7/27/2024,10,100,100,210,0.99,1.2,4.2,11.26,3.1,325,17,19.11764706,1.5,0.4,0.266666667,1.0121,674.7333333,0,1.11,0.6,1.85,3.56
